question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
"Which of the following is an equation?
","A. x + 1

B. x – 1

C. x – 1 = 0

D. x + 1 > 0","An equation contain two mathematically expressions which are connected by an equal.

From the above given options, only C satisfy this definition.",Q. 4,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If x takes the value 2, then the value of x + 10 is
","A. 20

B. 12
C. 10
D. 11","Given that x = 2

x + 10, put given value of x

x + 10 = 2 + 10

x + 10 = 12",Q. 5,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the perimeter of a regular hexagon is x meters, then the length of each of its sides is
","A. (x + 6) meters

B. (x ÷ 6) meters

C. (x – 6) meters

D. (6 ÷ x) meters","We know that perimeter is the sum of the length of sides of the figure.

Given figure is a regular hexagon which states that all the six sides of it are equal to each other.

So, the perimeter of the hexagon = 6× length of side

But, given that perimeter = x meters

6× length of side = x

Taking 6 on the other side it will be divided.

length of side = (x ÷ 6) meters",Q. 6,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following equations has x = 2 as a solution?
","A. x + 2 = 5

B. x – 2 = 0

C. 2x + 1 = 0

D. x + 3 = 6","Given x = 2

Putting this value in each of the options, we check where LHS = RHS

A. x + 2 = 5

LHS = x +2 = 2 +2 =4

RHS = 5

LHS ≠RHS

B. x - 2 = 0

LHS = x - 2 = 2 - 2 = 0

RHS = 0

LHS = RHS

C. 2x + 1 = 0

LHS = 2x +1 = 2× 2 + 1=4 + 1 =5

RHS = 0

LHS ≠RHS

D. x + 3 = 6

LHS = x +3 = 2 +3 = 5

RHS = 6

LHS ≠RHS

Hence, x =2 is the solution of x-2 =0.",Q. 7,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"For any two integers x and y, which of the following suggests that operation of addition is commutative?
","A. x + y = y + x

B. x + y > x

C. x – y = y – x

D. x × y = y × x","Commutative means changing the order of the operands does not change the result.

From the given options

x +y = y + x, shows the commutative property in addition.",Q. 8,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following equations does not have a solution in integers?
","A. x + 1 = 1

B. x – 1 = 3

C. 2x + 1 = 6

D. 1 – x = 5","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525965372842.png""/>
Solving each of the equations given.

A. x + 1 = 1

Taking 1 to RHS and subtracting from 1.

x = 1- 1

x = 0

The solution is an integer.

B. x – 1 = 3

Taking 1 to RHS and adding to 3.

x = 3+1

x = 4

The solution is an integer.

C. 2x + 1 = 6

Taking 1 to RHS and subtracting from 6

2x = 6 – 1

2x = 5

Now taking 2 to RHS and dividing 5


x = 2.5

The solution is not an integer.

D. 1 – x = 5

Taking 1 to RHS and subtracting from 5

-x = 5 – 1

- x = 4

Multiplying both the sides by -1

x = - 4

The solution is an integer.",Q. 9,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In algebra, a × b means ab, but in arithmetic 3 × 5 is
","A. 35

B. 53

C. 15
D. 20",We know that 3 × 5 = 15,Q. 10,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In algebra, letters may stand for
","A. known quantities

B. unknown quantities

C. fixed numbers

D. none of these","In algebra letters may stand for unknown quantities.

For example, in x + 2 the value of x is unknown and can be anything.",Q. 11,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"“Variable” means that it
","A. can take different values

B. has a fixed value

C. can take only 2 values

D. can take only three values","A variable is a quantity that may change its value according to the equation or problem.

Hence it can take different values.",Q. 12,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"10 – x means
","A. 10 is subtracted x times

B. x is subtracted 10 times

C. x is subtracted from 10

D. 10 is subtracted from x",10 – x means x is subtracted from 10.,Q. 13,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Savitri has a sum of Rs x. She spent Rs 1000 on grocery, Rs 500 on clothes and Rs 400 on education, and received Rs 200 as a gift. How much money (in Rs) is left with her?
","A. x – 1700

B. x – 1900

C. x + 200

D. x – 2100","Given sum of money Savitri has = Rs x

Expenses made by her:

Grocery = Rs 1000

Clothes = Rs 500

Education = Rs 400

Total expenses = 1000 + 500 + 400 = 1900

Money left with her after deducting expenses = Rs (x – 1900)

Money received as gift = Rs 200

Hence, money left with her after adding gifted money = (x – 1900) + 200

Money left with Savitri = Rs (x – 1700)",Q. 14,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525966075955.png""/>
The perimeter of the triangle shown in Fig. 7.1 is


","A. 2x + y

B. x + 2y

C. x + y

D. 2x – y","We know that perimeter is the sum of the length of sides of the figure.

Given sides of the triangle are x, x and y.

Perimeter of triangle = x + x + y

perimeter = 2x + y",Q. 15,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The area of a square having each side x is
","A. x × x

B. 4x

C. x + x

D. 4 + x","We know that the area of a square is length of side multiply by length of side

Given that the side of the square is x

Area of the square = x × x",Q. 16,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The expression obtained when x is multiplied by 2 and then subtracted from 3 is
","A. 2x – 3

B. 2x + 3

C. 3 – 2x

D. 3x – 2","Given that x is multiplied by 2 = 2x

Then, this expression is subtracted from 3

= 3 – 2x

Hence, 3 – 2x is the required expression",Q. 17,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525966767123.png""/>
= 3 has a solution",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525967457488.png""/>
Given

Take 2 to the other side and multiply with 3

q = 2× 3

q = 6",Q. 18,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"x – 4 = – 2 has a solution
","A. 6

B. 2
C. – 6
D. – 2","Given x – 4 = -2

Take 4 to the other side and add to -2

x = -2 + 4

x = 2",Q. 19,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525968185419.png""/>
= 2 denotes a
","A. numerical equation

B. algebraic expression

C. equation with a variable

D. false statement","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052596887149.png""/>
The equation does not contain any variable.

Also, it is a true statement",Q. 20,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525969601821.png""/>
Kanta has p pencils in her box. She puts q more pencils in the box. The total number of pencils with her are
","A. p + q

B. pq
C. p – q
D. p/q","Given no. of pencils with Kanta = p

No. of pencils added = q

Adding above number,

Total no. of pencils = p +q",Q. 21,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The equation 4x = 16 is satisfied by the following value of x
","A. 4

B. 2
C. 12
D. –12","<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525970317438.png""/>
Given equation: 4x = 16

Taking 4 on the other side it will divide 16,


x = 4

Hence, x = 4 satisfy the equation.",Q. 22,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"I think of a number and on adding 13 to it, I get 27. The equation for this is
","A. x – 27 = 13

B. x – 13 = 27

C. x + 27 = 13

D. x + 13 = 27","Let the number being think of is x.

Now, adding 13 in it gives

x + 13

So, it is becomes 27.

x + 13 = 27

So the equation is x + 13 = 27.",Q. 23,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The distance (in km) travelled in h hours at a constant speed of 40km per hour is __________.,NA,"(40h) km
Given that speed is 40 km per hour.

This means

Distance travelled in 1 hour = 40 km

Distance travelled in h hours = 40 × h km

Distance travelled in h hours = 40h km",Q. 24,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
p kg of potatoes are bought for Rs 70. Cost of 1kg of potatoes (in Rs) is __________.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525971047796.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052597179238.png""/>
Given that p kg of potatoes are bought for Rs 70.

This means

Cost of p kg of potatoes = Rs 70

Cost of 1 kg of potatoes",Q. 25,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
An auto rickshaw charges Rs 10 for the first kilometre then Rs 8 for each such subsequent kilometre. The total charge (in Rs) for d kilometres is __________.,NA,"Auto rickshaw charges for 1st KM = Rs.10

Charges after 1st KM (i.e., 2nd, 3rd, 4th) = Rs.8

Charges for d KMs = charges for 1st, 2nd, 3rd, 4th, …. d

= charges for 1st + charges for 2nd, 3rd, 4th, …. d-1

charges for 1 km is separated we write d-1 in the second term instead of d)

= 10 + 8 × (d-1)

We will be charged same amount after 1st that is Rs.8

= 10 + 8d – 8

= 2 + 8d

Total charges for d KMs is 2 + 8d",Q. 26,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If 7x + 4 = 25, then the value of x is __________.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525972547883.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525973260876.png""/>
Given equation 7x + 4 = 25

We have to find the value of X (i.e., for what value of X the equation will be satisfied)

7x + 4 = 25

Taking 4 in L.H.S to R.H.S

(R.H.S = The part which is Right side to the equity in an equation

L.H.S = The part which is Left side to the equity in an equation)

By transferring the number to the other side of the equation. Its sign will be changed.

7x = 25 – 4

7(x) = 21

In the above statement 7 is multiplied by X

If that goes to other side it will be divides the number on other side




7x + 4 = 25

Subtracting 4 on both sides of the equation

7x +4 – 4 = 25 – 4

7x = 21

Dividing X on both sides of the equation",Q. 27,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The solution of the equation 3x + 7 = –20 is __________.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525973976935.png""/>
Given equation 3x + 7 = –20

Sending 7 to R.H.S

3x = -20 – 7

3x = -27

Taking 3 to R.H.S",Q. 28,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
‘x exceeds y by 7’ can be expressed as __________.,NA,"‘X exceeds by 7’ means ‘value of x is increased by 7’

x value increases we use ‘+’ operator

Mathematically we can write the given statement as X + 7",Q. 29,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
‘8 more than three times the number x’ can be written as __________.,NA,"The number is x

Three times the number is 3x

8 more than the three times the number is 3x + 8

(we use + operator since ‘more than’ is given)",Q. 30,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Number of pencils bought for Rs x at the rate of Rs 2 per pencil is __________.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525974703522.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525975452851.png""/>
Let the number of pencils bought be m

Cost of pencils is Rs. X

Cost of each pencils is Rs.2

Cost of pencils = number of pencils × cost of each pencils

X = m × 2


number of pencils bought (m) =",Q. 31,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of days in w weeks is __________.,NA,"Number of days in a week = 7 day

Number of days in w weeks = w × number of days in a week

= w × 7 days

= 7w days",Q. 32,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Annual salary at r rupees per month along with a festival bonus of Rs 2000 is __________.,NA,"Annual means 12 months (a year) + bonus

Monthly salary = Rs. r

Festival bonus= 2000

Annual salary = 12-month salary + bonus

= 12 × r + 2000

= 12r + 2000",Q. 33,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The two-digit number whose ten’s digit is ‘t’ and units’s digit is ‘u’ is __________.,NA,"Let 29 be a number in that 2 is in ten’s place

9 is in unit’s place

Given

‘t’ is ten’s digit of a two-digit number

‘u’ is unit’s digit of a two-digit number

A two-digit number consists of two digits only

The two-digit number is ‘tu’",Q. 34,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The variable used in the equation 2p + 8 = 18 is __________.,NA,"In this question ‘p’ is a variable.

Every other value is constant in the equation (i.e., 8, 18,2)

P don’t have any constant value, so it is a variable.",Q. 35,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
x metres = __________ centimetres,NA,"We know that

1 meter = 100 centimeter

Then, the value of x meters is

X (1 meter) = x (100 centimeter)

X meter = 100x centimeters",Q. 36,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
p litres = __________ millilitres,NA,"We know that

1 liter = 1000 milliliters

Then, the value of p liters is

P (1 liters) = P (1000 milliliters)

P liters = 1000P milliliters",Q. 37,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
r rupees = __________ paise,NA,"We know that

1 rupee = 100 paise

Then, the value of r rupees is

r (1 rupee) = r (100 paise)

r rupees = 100r paise",Q. 38,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the present age of Ramandeep is n years, then her age after 7 years will be __________.",NA,"The present age of Ramandeep is n years

Every year her age will be increasing (adding)

After 7 years, her age will be added by 7 to his present age

After 7 years her age = present age + 7

= n +7",Q. 39,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If I spend f rupees from 100 rupees, the money left with me is __________ rupees.",NA,"Every time when you spend some money from amount the money will be subtracted from the amount

If I have 100 rupees

After spending f rupees from 100

The remaining amount will be 100 – f",Q. 40,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
0 is a solution of the equation x + 1 = 0,NA,"Given x + 1 = 0

Taking ‘1’ to R.H.S


So, value of x is -1 not 0

So, given statement is false",Q. 41,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The equations x + 1 = 0 and 2x + 2 = 0 have the same solution.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525976168850.png""/>
Given x + 1 = 0 ⇒ (a)

2x + 2 = 0 ⇒ (b)

In the second equation we are going to take 2 as common since all the term in it is multiple of 2

2(x + 1) = 0

Sending 2 to R.H.S

X + 1 =

X + 1 = 0 ⇒ (c)

We can see that equation a & c are same

So, they will have same solutions.

So, given statement is True",Q. 42,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If m is a whole number, then 2m denotes a multiple of 2",NA,"Given m is a whole number

2m denotes a multiple of 2

m is multiplied by 2

So, all values of 2m is multiplied by 2

So, given statement is True",Q. 43,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The additive inverse of an integer x is 2x.,NA,"For any number its additive inverse is negative sign of that number

For integer x is -1(x)


The additive inverse of x is -x

So, given statement is false",Q. 44,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If x is a negative integer, – x is a positive integer.",NA,"For any integer if we multiply -1 we will get opposite sign for that integer


-1 (n) → -n

if X is negative number

then we can make it positive number if we multiply it by -1

-1 (x) → -x

given statement is correct.",Q. 45,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
2x – 5 > 11 is an equation,NA,"A equation must contain equity symbol in the above equation we don’t find any such symbol.

So, given one is not an equation.

So, given statement is false",Q. 46,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In an equation, the LHS is equal to the RHS.",NA,"If L.H.S. = R.H.S. then that is said to be an equation.

given statement is correct.",Q. 47,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In the equation 7k – 7 = 7, the variable is 7.",NA,"We know that 7 is a constant not variable.

In the above equation k is the variable.

So, given statement is false",Q. 48,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
a = 3 is a solution of the equation 2a – 1 = 5,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/15305259769739.png""/>
Given

2a – 1 = 5

Taking 1 to R.H.S.

2a = 5 + 1

2a = 6

Taking 2 to R.H.S.



given statement is correct.",Q. 49,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The distance between New Delhi and Bhopal is not a variable.,NA,"The distance between New Delhi and Bhopal will be a constant

every time it won’t change. The distance between them is fixed.

So, that is not a variable.

given statement is correct.",Q. 50,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
t minutes are equal to 60t seconds.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525977757979.png""/>
True
Given: t minutes = 60 t seconds

1 × t minutes = 60 t seconds


1 minute = 60 seconds",Q. 51,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
x = 5 is the solution of the equation 3x + 2 = 20,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052597850286.png""/>
False
Given equation is

3x + 2 = 20

3x = 20 – 2

3x = 18


x = 6

Hence, solution of given equation is x = 6

But, according to question x = 5 is the solution of the given equation.",Q. 52,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525979241316.png""/>
‘One third of a number added to itself gives 8’, can be expressed as",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525979964566.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052598068914.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525981416612.png""/>
False
Let the number be x


Now, according to given statement


But, given statement is",Q. 53,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The difference between the ages of two sisters Leela and Yamini is a variable.,NA,"False
Difference between the age of two sister Leela and Yamini is not a variable because Leela’s and Yamini’s ages are fixed.

But the value of a variable is not fixed.",Q. 54,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of lines that can be drawn through a point is a variable.,NA,"True
Infinite number of lines can be drawn through a point.",Q. 55,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
One more than twice the number.,NA,"Let the number be x
Twice the number x = 2x

According to question,

The expression is 2x + 1",Q. 56,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
20° C less than the present temperature.,NA,"Let the present temperature be x°c
required expression is (present temperature – 20°c)

required expression is (x-20)°c",Q. 57,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The successor of an integer.,NA,"Let the integer be n
Successor of n = n + 1

required expression = n + 1",Q. 58,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The perimeter of an equilateral triangle, if side of the triangle is m.",NA,"Given, side of a triangle = m
In an equilateral triangle, all sides are equal = m

perimeter of an equilateral triangle = sum of all sides

Thus, perimeter of equilateral triangle = m + m + m = 3m",Q. 59,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Area of the rectangle with length k units and breadth n units.,NA,"Given, length of rectangle = k units
Breadth of rectangle = n units

Area of rectangle = length × bredth

= k × n

Area of rectangle = kn sq units",Q. 60,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Omar helps his mother 1 hour more than his sister does.,NA,"Let sister’s helping hours = x hours
Then, Omar’s helping hour = sister’s helping hour + 1 = (x+1) hours

Thus, required expression = (x+1) hours",Q. 61,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Two consecutive odd integers.,NA,"Any odd integer can be written as 2n+1, where n = integer
So, the next odd integer will be (2n+1) + 2 = 2n + 3

Hence, two consecutive odd integers are 2n + 1 and 2n + 3",Q. 62,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Two consecutive even integers.,NA,"Any even integer can be written as 2n, where n = integer
So, the next even integer will be 2n+ 2

Hence, two consecutive even integer are 2n and 2n +2",Q. 63,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Multiple of 5.,NA,"Multiples of 5 are
Multiply 5 by 1 = 5× 1 = 5

Multiply 5 by 2 = 5× 2 = 10

Multiply 5 by 3 = 5× 3 = 15

And so on

Multiply 5 by n = 5× n = 5n, where n is any whole number",Q. 64,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The denominator of a fraction is 1 more than its numerator.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525982161289.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525982876285.png""/>
Let the numerator be x
Then denominator = x + 1


Hence, required fraction is",Q. 65,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The height of Mount Everest is 20 times the height of Empire State building.,NA,"Let height of Empire State be h metre
Height of Mount Everest = 20 × h = 20h metre

Hence, required expression is 20h",Q. 66,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If a note book costs Rs p and a pencil costs Rs 3, then the total cost (in Rs) of two note books and one pencil.",NA,"Cost of one notebook = Rs p
Cost of 2 notebook = 2 × p = Rs 2p

Cost of one pencil = Rs 3

Total cost = Cost of 2 notebook + Cost of 1 pencil

Total cost = Rs (2p+3)",Q. 67,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
